player,primaryPostion
Evan Turner,SmallForward
Ian Mahinmi,Center
Brandon Knight,PointGuard
Dewayne Dedmon,Center
Courtney Lee,ShootingGuard
John Henson,PowerForward
Andre Roberson,ShootingGuard
Taj Gibson,PowerForward
E'Twaun Moore,ShootingGuard
Ersan Ilyasova,PowerForward
Marco Belinelli,ShootingGuard
Frank Kaminsky,Center
Yogi Ferrell,PointGuard
Quinn Cook,PointGuard
Zhaire Smith,ShootingGuard
Wilson Chandler,SmallForward
Tyson Chandler,Center
Kyle Korver,ShootingGuard
Vince Carter,ShootingGuard
Thabo Sefolosha,SmallForward
Rondae Hollis-Jefferson,SmallForward
Kyle O'Quinn,Center
Ante Zizic,Center
Shabazz Napier,PointGuard
Jacob Evans,ShootingGuard
Caleb Swanigan,PowerForward
Emmanuel Mudiay,PointGuard
Furkan Korkmaz,ShootingGuard
Cheick Diallo,PowerForward
Skal Labissiere,PowerForward
Treveon Graham,SmallForward
Joakim Noah,Center
Brad Wanamaker,PointGuard
Theo Pinson,ShootingGuard
Élie Okobo,PointGuard
Dewan Hernandez,Center
David Nwaba,ShootingGuard
Wesley Iwundu,SmallForward
Keita Bates-Diop,SmallForward
Khyri Thomas,ShootingGuard
P.J. Dozier,PointGuard
Sterling Brown,ShootingGuard
Timothe Luwawu-Cabarrot,ShootingGuard
Melvin Frazier,SmallForward
Ky Bowman,ShootingGuard
Bruno Caboclo,SmallForward
Alize Johnson,PowerForward
Gary Payton II,PointGuard
Rayjon Tucker,SmallForward
Malcolm Miller,SmallForward
Jordan Bell,Center
Marvin Williams,PowerForward
Norvel Pelle,PowerForward
Shaquille Harrison,PointGuard
Jordan McRae,ShootingGuard
DeMarre Carroll,SmallForward
Michael Kidd-Gilchrist,SmallForward
Nik Stauskas,ShootingGuard
Dion Waiters,ShootingGuard
Corey Brewer,ShootingGuard
Anthony Tolliver,PowerForward
J.R. Smith,ShootingGuard
Jamal Crawford,ShootingGuard
Luc Richard Mbah a Moute,PowerForward
Lance Thomas,SmallForward
Justin Patton,Center
Ryan Broekhoff,SmallForward
Jaylen Adams,PointGuard
Donta Hall,PowerForward
Justin Anderson,ShootingGuard
Jarrod Uthoff,SmallForward
Tyler Cook,PowerForward
Lamine Diane,#N/A
Justin Robinson,PointGuard
Brian Bowen II,ShootingGuard
Jaylen Hoard,#N/A
Charlie Brown Jr.,ShootingGuard
Cam Reynolds,#N/A
Jordan Bone,PointGuard
Marial Shayock,ShootingGuard
Frank Mason III,PointGuard
Antonius Cleveland,ShootingGuard
Naz Mitrou-Long,ShootingGuard
Kobi Simmons,PointGuard
Moses Brown,Center
B.J. Johnson,SmallForward
Kevin Hervey,SmallForward
Ray Spalding,PowerForward
Devon Hall,ShootingGuard
Michael Beasley,SmallForward